Timestamp,LeftX,LeftY,LeftVelX,LeftVelY,RightX,RightY,RightVelX,RightVelY,LeftPupilRadius,RightPupilRadius,LeftRadialVel,LeftRadialAcc,LeftRadialJerk,RightRadialVel,RightRadialAcc,RightRadialJerk,
10368,-2.44409,0.967795,0.132019,0.527585,-2.39766,0.713801,0.377053,0.266777,0.958683,0.858446,,,,,,,
10370,-2.44409,0.967795,-0.107957,0.0799652,-2.39703,0.713116,0.140477,-0.135163,0.958683,0.861218,0,,,0.00093145,,,
10372,-2.44529,0.967118,-0.587616,-0.143981,-2.39703,0.713116,-0.0958099,0.0658067,0.958683,0.861771,0.00138127,0.00138127,,0,-0.00093145,,
10374,-2.44529,0.966441,-0.107957,-0.143708,-2.39829,0.713116,-0.568672,0.0658067,0.958683,0.86011,0.000676559,-0.000704707,-0.00208597,0.00126232,0.00126232,0.00219377,
10376,-2.44469,0.966441,0.131727,0.0799652,-2.39892,0.713801,-0.332097,0.266777,0.958683,0.858446,0.000601514,-7.50442e-05,0.000629663,0.00093145,-0.000330866,-0.00159318,
10378,-2.44409,0.966441,0.132019,0.0799652,-2.39829,0.714488,0.140477,0.267022,0.958683,0.85789,0.000602249,7.3445e-07,7.57787e-05,0.000932066,6.15915e-07,0.000331482,
10380,-2.44349,0.966441,0.131727,0.0799652,-2.39766,0.715173,0.140766,0.266777,0.958683,0.857335,0.000601514,-7.3445e-07,-1.4689e-06,0.000931972,-9.41849e-08,-7.101e-07,
10382,-2.44349,0.966441,-0.107957,0.0799652,-2.39703,0.714488,0.140477,-0.135163,0.958683,0.856778,0,-0.000601514,-0.00060078,0.00093145,-5.21731e-07,-4.27546e-07,
10384,-2.44288,0.965088,0.131727,-0.367381,-2.39766,0.713801,-0.332097,-0.135409,0.959165,0.856222,0.00148079,0.00148079,0.00208231,0.000932066,6.15915e-07,1.13765e-06,
10386,-2.44228,0.964411,0.131727,-0.143708,-2.39829,0.713801,-0.332385,0.0658067,0.959646,0.856778,0.000905291,-0.000575502,-0.00205629,0.000631543,-0.000300523,-0.000301139,
10388,-2.44168,0.963734,0.131727,-0.143981,-2.39766,0.713116,0.140766,-0.135163,0.960127,0.856778,0.000905908,6.17527e-07,0.000576119,0.000931972,0.000300428,0.000600951,
10390,-2.44048,0.963734,0.371703,0.0799652,-2.39703,0.712431,0.140477,-0.135163,0.959646,0.856778,0.00120376,0.000297855,0.000297238,0.00093145,-5.21731e-07,-0.00030095,
10392,-2.43988,0.963734,0.131727,0.0799652,-2.39703,0.711745,-0.0958099,-0.135163,0.959646,0.857335,0.000601514,-0.000602249,-0.000900104,0.000685364,-0.000246086,-0.000245564,
10394,-2.43927,0.963734,0.131727,0.0799652,-2.39703,0.710374,-0.0958099,-0.336379,0.959646,0.857335,0.000601514,4.44089e-16,0.000602249,0.00137157,0.000686201,0.000932287,
10396,-2.43988,0.963057,-0.34764,-0.143708,-2.39703,0.710374,-0.0958099,0.0658067,0.959165,0.85789,0.000905291,0.000303776,0.000303776,0,-0.00137157,-0.00205777,
10398,-2.44048,0.962381,-0.34764,-0.143708,-2.39577,0.71106,0.376764,0.267022,0.958683,0.857335,0.000905291,-2.9512e-16,-0.000303776,0.0014361,0.0014361,0.00280766,
10400,-2.44048,0.961028,-0.107957,-0.367381,-2.39451,0.711745,0.377053,0.266777,0.958201,0.857335,0.00135312,0.000447827,0.000447827,0.00143637,2.7713e-07,-0.00143582,
10402,-2.43927,0.961028,0.37141,0.0799652,-2.39388,0.711745,0.140477,0.0658067,0.958201,0.857335,0.00120303,-0.000150088,-0.000597915,0.000630773,-0.0008056,-0.000805877,
10404,-2.43807,0.961028,0.371703,0.0799652,-2.39325,0.711745,0.140477,0.0658067,0.958201,0.856778,0.00120376,7.3445e-07,0.000150823,0.000630773,4.44089e-16,0.0008056,
10406,-2.43807,0.96035,-0.107957,-0.143981,-2.39325,0.71106,-0.0958099,-0.135163,0.958201,0.856778,0.000677385,-0.000526379,-0.000527113,0.000685364,5.45913e-05,5.45913e-05,
